tissue,subTissues
377,Heart,Heart_erythrocyte
378,Heart,Heart_erythrocyte
379,Heart,Heart_erythrocyte
380,Heart,Heart_erythrocyte
381,Heart,Heart_erythrocyte
382,Heart,Heart_fibroblast
383,Heart,Heart_fibroblast
384,Heart,Heart_fibroblast
385,Heart,Heart_fibroblast
386,Heart,Heart_fibroblast
387,Heart,Heart_fibroblast
388,Heart,Heart_fibroblast
389,Heart,Heart_fibroblast
390,Heart,Heart_fibroblast
391,Heart,Heart_fibroblast
392,Heart,Heart_fibroblast
393,Heart,Heart_fibroblast
394,Heart,Heart_fibroblast
395,Heart,Heart_fibroblast
396,Heart,Heart_fibroblast
397,Heart,Heart_fibroblast
398,Heart,Heart_fibroblast
399,Heart,Heart_fibroblast
400,Heart,Heart_fibroblast
401,Heart,Heart_fibroblast
402,Heart,Heart_fibroblast
403,Heart,Heart_fibroblast
404,Heart,Heart_fibroblast
405,Heart,Heart_fibroblast
406,Heart,Heart_fibroblast
407,Heart,Heart_fibroblast
408,Heart,Heart_fibroblast
409,Heart,Heart_fibroblast
410,Heart,Heart_fibroblast
411,Heart,Heart_fibroblast
412,Heart,Heart_fibroblast
413,Heart,Heart_fibroblast
414,Heart,Heart_fibroblast
415,Heart,Heart_fibroblast
416,Heart,Heart_fibroblast
417,Heart,Heart_fibroblast
418,Heart,Heart_fibroblast
419,Heart,Heart_fibroblast
420,Heart,Heart_fibroblast
421,Heart,Heart_fibroblast
422,Heart,Heart_fibroblast
423,Heart,Heart_fibroblast
424,Heart,Heart_fibroblast
425,Heart,Heart_fibroblast
426,Heart,Heart_fibroblast
427,Heart,Heart_fibroblast
428,Heart,Heart_fibroblast
429,Heart,Heart_fibroblast
430,Heart,Heart_fibroblast
431,Heart,Heart_fibroblast
432,Heart,Heart_fibroblast
433,Heart,Heart_fibroblast
434,Heart,Heart_fibroblast
435,Heart,Heart_fibroblast
436,Heart,Heart_fibroblast
437,Heart,Heart_fibroblast
438,Heart,Heart_fibroblast
439,Heart,Heart_fibroblast
440,Heart,Heart_fibroblast
441,Heart,Heart_fibroblast
442,Heart,Heart_fibroblast
443,Heart,Heart_fibroblast
444,Heart,Heart_fibroblast
445,Heart,Heart_fibroblast
446,Heart,Heart_fibroblast
447,Heart,Heart_fibroblast
448,Heart,Heart_fibroblast
449,Heart,Heart_fibroblast
450,Heart,Heart_fibroblast
451,Heart,Heart_fibroblast
452,Heart,Heart_fibroblast
453,Heart,Heart_fibroblast
454,Heart,Heart_fibroblast
455,Heart,Heart_fibroblast
456,Heart,Heart_fibroblast
457,Heart,Heart_fibroblast
458,Heart,Heart_fibroblast
459,Heart,Heart_fibroblast
460,Heart,Heart_fibroblast
461,Heart,Heart_fibroblast
462,Heart,Heart_fibroblast
463,Heart,Heart_fibroblast
464,Heart,Heart_fibroblast
465,Heart,Heart_fibroblast
466,Heart,Heart_fibroblast
467,Heart,Heart_fibroblast
468,Heart,Heart_fibroblast
469,Heart,Heart_fibroblast
470,Heart,Heart_fibroblast
471,Heart,Heart_fibroblast
472,Heart,Heart_fibroblast
473,Heart,Heart_fibroblast
474,Heart,Heart_fibroblast
475,Heart,Heart_fibroblast
476,Heart,Heart_fibroblast
477,Heart,Heart_fibroblast
478,Heart,Heart_fibroblast
479,Heart,Heart_fibroblast
480,Heart,Heart_fibroblast
